,Hardware Integrity,,,,,Local Access,,,,,Mobile Security,,,,,,,Wi-Fi Security,,,,Service Security,,,,,,,,,,,Hardware Security,,,,Firmware Updates,,,,,,,,End-user Privacy,,,,,,Binary Hardening,,,,,,Linux Hardening,,,,,,,,,,Statistics,,,,,,,
Energizer,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,N/A,Fail,Fail,Pass,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Unknown,Pass,Unknown,Unknown,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,32,27,3,4,66,48%,53%,41%
Wuuk,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Fail,Pass,Fail,N/A,Pass,Fail,Pass,Pass,Fail,Pass,Unknown,Pass,Unknown,Unknown,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,23,34,6,3,66,35%,44%,52%
TP-Link,Fail,Fail,Pass,Pass,Fail,Fail,Fail,N/A,Fail,Pass,Pass,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,30,31,5,0,66,45%,53%,47%
Vacos,Fail,Fail,Fail,Pass,Fail,Fail,Fail,N/A,Fail,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Unknown,Pass,Pass,Pass,Fail,Fail,Pass,Unknown,Pass,Pass,Unknown,Pass,Fail,N/A,N/A,Pass,Fail,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,17,25,3,66,32%,70%,26%
Jennov,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Unknown,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Fail,N/A,N/A,N/A,Unknown,N/A,Unknown,Unknown,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,18,37,7,4,66,27%,38%,56%
Anran,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass,N/A,N/A,Unknown,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Unknown,Fail,Unknown,Unknown,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,21,38,3,4,66,32%,36%,58%
Kami Baby,Fail,Fail,Pass,Pass,Pass,Fail,Fail,N/A,Fail,Pass,Pass,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Unknown,Unknown,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,30,26,8,2,66,45%,58%,39%
Motorola,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,N/A,Pass,Pass,Fail,Pass,N/A,Fail,Fail,Fail,Pass,Pass,Pass,N/A,N/A,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,N/A,N/A,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Unknown,Unknown,Fail,Fail,Unknown,29,28,6,3,66,44%,53%,42%
VTech,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,N/A,Unknown,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,N/A,N/A,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,30,26,9,1,66,45%,59%,39%
CellBee,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,N/A,Fail,Pass,Fail,Pass,N/A,Pass,N/A,N/A,Pass,Fail,Pass,N/A,N/A,Fail,Pass,N/A,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Pass,22,37,7,0,66,33%,44%,56%
